0,题干,选项,0,答案,解析,4,1
1,25、变更车道时，应开启转向灯，迅速驶入侧方车道。,"A、正确B、错误",2,B,,4,1
1,26、驾驶人一边驾车，一边吸烟对安全行车无影响。,"A、正确B、错误",2,B,,4,1
1,27、在道路与铁路道口遇到一个红灯亮时要尽快通过道口。,"A、正确B、错误",2,B,,4,1
1,28、黄灯持续闪烁，表示机动车可以加速通过。,"A、正确B、错误",2,B,,4,1
1,29、驾驶机动车在路口看到这种信号灯亮时，要加速通过。,"A、正确B、错误",2,B,,4,1
1,30、驾驶机动车遇到这种信号灯，可在对面直行车前直接向左转弯。,"A、正确B、错误",2,B,,4,1
1,31、行车中突遇对向车辆强行超车，占据自己车道时，可不予避让，迫使对方让路。,"A、正确B、错误",2,B,,4,1
1,32、漫水道路行车时，应挂高速档，快速通过。,"A、正确B、错误",2,B,,4,1
1,33、初次申领驾驶证的驾驶人在实习期内可以单独驾驶机动车上高速公路行驶。,"A、正确B、错误",2,B,,4,1
1,34、驾驶机动车碰撞建筑物、公共设施后可即行撤离现场。,"A、正确B、错误",2,B,,4,1
1,35、驾驶机动车时可以向道路上抛撒物品。,"A、正确B、错误",2,B,,4,1
1,36、行车中在道路情况良好的条件下可以观看车载视频。,"A、正确B、错误",2,B,,4,1
1,37、驾驶机动车在道路上发生交通事故要立即将车移到路边。,"A、正确B、错误",2,B,,4,1
1,38、驶离高速公路可以从这个位置直接驶入匝道。,"A、正确B、错误",2,B,,4,1
1,39、可以从这个位置直接驶入高速公路行车道。,"A、正确B、错误",2,B,,4,1
1,40、驾驶机动车找不到停车位时可以借人行道停放。,"A、正确B、错误",2,B,,4,1
1,41、行经这种交通标线的路段要加速行驶。,"A、正确B、错误",2,B,,4,1
1,42、驾驶机动车通过漫水路时要加速行驶。,"A、正确B、错误",2,B,,4,1
1,43、在交叉路口遇到这种情况时，要在红灯亮以前加速通过路口。,"A、正确B、错误",2,B,,4,1
1,44、遇到这种情况时，要加速从红车前变更车道。,"A、正确B、错误",2,B,,4,1
1,45、在这种情况的铁路道口要加速通过。,"A、正确B、错误",2,B,,4,1
1,46、驾驶机动车在没有交通信号的路口要尽快通过。,"A、正确B、错误",2,B,,4,1
1,47、驾驶机动车超车后立即开启右转向灯驶回原车道。,"A、正确B、错误",2,B,,4,1
1,"48、驾驶机动车上坡时,在将要到达坡道顶端时要加速并鸣喇叭。","A、正确B、错误",2,B,,4,1
1,49、饮酒后只要不影响驾驶操作可以短距离驾驶机动车。,"A、正确B、错误",2,B,,4,1
1,50、服用国家管制的精神药品可以短途驾驶机动车。,"A、正确B、错误",2,B,,4,1
1,51、已经达到报废标准的机动车经大修后可以上路行驶。,"A、正确B、错误",2,B,,4,1
1,52、拼装的机动车只要认为安全就可以上路行驶。,"A、正确B、错误",2,B,,4,1
